ticket_id,description,created_date,priority,department,status
TK-2025-001,ログイン画面でパスワードを正しく入力しているのにログインできません。ブラウザのキャッシュをクリアしても改善しません。アカウントがロックされた可能性があります。,2025-01-10,高,テクニカルサポート,解決済み
TK-2025-002,月次レポートの自動生成がスケジュール通りに実行されません。先月も手動で実行する必要がありました。ジョブスケジューラーのログを確認してください。,2025-01-12,中,テクニカルサポート,解決済み
TK-2025-003,請求金額が利用量と一致しません。12月分の請求が通常の2倍になっていますが、利用量には変化がないはずです。明細の詳細を確認したいです。,2025-01-15,高,経理・請求,対応中
TK-2025-004,APIキーの再発行をお願いします。誤ってGitHubの公開リポジトリにコミットしてしまったため、至急無効化と新規発行が必要です。,2025-01-18,緊急,セキュリティ,解決済み
TK-2025-005,ファイルアップロード時に「サーバーエラー500」が発生します。50MB以上のファイルを添付しようとすると毎回エラーになります。,2025-01-20,中,テクニカルサポート,解決済み
TK-2025-006,新規ユーザーを10名追加したいのですが、管理画面からの一括登録方法がわかりません。CSVでのインポートは可能ですか。,2025-01-22,低,アカウント管理,解決済み
TK-2025-007,ダッシュボードのグラフが表示されず白い画面のままです。データは存在しているはずですが、ブラウザの開発者ツールでJavaScriptエラーが出ています。,2025-01-25,高,テクニカルサポート,解決済み
TK-2025-008,二段階認証のSMSコードが届きません。電話番号は正しく登録されています。他のサービスのSMSは正常に受信できています。,2025-01-28,高,セキュリティ,対応中
TK-2025-009,エクスポートしたCSVの日付形式がYYYY/MM/DD形式になっていますが、YYYY-MM-DD形式で出力したいです。設定方法を教えてください。,2025-02-01,低,テクニカルサポート,解決済み
TK-2025-010,先週からメール通知が一切届かなくなりました。通知設定は有効のままです。迷惑メールフォルダにも見当たりません。,2025-02-03,中,テクニカルサポート,解決済み
TK-2025-011,データベースのバックアップが3日前から失敗しているようです。管理画面のバックアップ履歴にエラーが表示されています。データの安全性が心配です。,2025-02-05,緊急,テクニカルサポート,解決済み
TK-2025-012,SSO連携でAzure ADの設定をしていますが、SAML認証が失敗します。エラーログには「Invalid signature」と表示されています。証明書の更新が必要でしょうか。,2025-02-08,高,セキュリティ,対応中
TK-2025-013,検索結果の並び順がおかしいです。関連度の高い結果が下の方に表示され、関連の薄い結果が上位に来ています。検索アルゴリズムに問題があるのではないでしょうか。,2025-02-10,中,テクニカルサポート,解決済み
TK-2025-014,契約プランをスタンダードからエンタープライズに変更したいです。月払いから年払いへの切り替えも同時に行いたいのですが、手続き方法を教えてください。,2025-02-12,低,経理・請求,解決済み
TK-2025-015,テスト環境のデータが本番環境に反映されてしまいました。テスト用のダミーデータが顧客に見える状態になっています。至急対応をお願いします。,2025-02-15,緊急,テクニカルサポート,解決済み
TK-2025-016,Webhook機能が不安定で、通知が二重に送信されることがあります。また、まれに通知自体が欠落するケースも確認しています。,2025-02-18,中,テクニカルサポート,対応中
TK-2025-017,退職するユーザーのアカウントを無効化したいのですが、そのユーザーが作成したデータは残したまま、アクセス権だけを剥奪する方法はありますか。,2025-02-20,中,アカウント管理,解決済み
TK-2025-018,印刷時にヘッダーとフッターが切れてしまいます。A4用紙に収まるようにPDFが生成されるべきですが、マージン設定が反映されていません。,2025-02-22,低,テクニカルサポート,解決済み
TK-2025-019,大量のAPIリクエストを行うと429エラー（レート制限超過）が頻発します。バッチ処理のために一時的にレート制限を緩和することは可能ですか。,2025-02-25,高,テクニカルサポート,対応中
TK-2025-020,データのインポート中にタイムアウトが発生し、インポートが途中で中断されます。レコード数が50万件を超えるとこの問題が発生するようです。,2025-02-28,高,テクニカルサポート,解決済み
TK-2025-021,他のユーザーのレポートが自分のダッシュボードに表示されています。アクセス権限の設定ミスの可能性があります。データ漏洩に関わる問題として早急に対応をお願いします。,2025-03-02,緊急,セキュリティ,解決済み
TK-2025-022,カスタムフィールドの追加方法について質問です。顧客管理画面に独自の項目を5つ追加したいのですが、APIからの設定は可能ですか。,2025-03-05,低,テクニカルサポート,解決済み
TK-2025-023,今月の請求書に前月分の未払い分が加算されていますが、前月分は既に支払い済みです。入金の確認をお願いします。振込明細書を添付します。,2025-03-08,高,経理・請求,対応中
TK-2025-024,データセンターの移行に伴い、IPアドレスのホワイトリストを更新する必要があるとのことですが、新しいIPアドレス範囲を教えてください。ファイアウォールの設定変更に時間がかかるため、事前に準備したいです。,2025-03-10,中,セキュリティ,解決済み
TK-2025-025,ユーザーインターフェースが応答しなくなることがあります。特にフィルターを複数組み合わせて使用すると、画面がフリーズしてブラウザの再起動が必要になります。,2025-03-12,高,テクニカルサポート,対応中
TK-2025-026,新しいリリースの変更ログが詳細すぎて、重要な変更がどれか判断できません。ハイライト版のリリースノートも併せて提供してほしいです。,2025-03-15,低,ドキュメント,解決済み
TK-2025-027,組織の統合に伴い、2つのテナントを1つに統合する必要があります。データの移行方法とスケジュールについて相談させてください。,2025-03-18,中,アカウント管理,対応中
TK-2025-028,特定の時間帯（午前9時-10時）にレスポンスが極端に遅くなります。アクセスログを分析したところ、この時間帯のリクエスト数が通常の5倍になっているようです。,2025-03-20,高,テクニカルサポート,解決済み
TK-2025-029,GDPRに準拠したデータ削除リクエストの処理方法を教えてください。EU在住のユーザーからの「忘れられる権利」の行使に対応する必要があります。,2025-03-22,高,セキュリティ,解決済み
TK-2025-030,クレジットカードの有効期限切れで決済が失敗しているとの通知を受け取りましたが、新しいカード情報の更新画面が見つかりません。どこから更新できますか。,2025-03-25,中,経理・請求,解決済み
TK-2025-031,レポートのスケジュール配信先にメーリングリストを指定したいのですが、現在は個別のメールアドレスしか登録できません。グループアドレスへの対応予定はありますか。,2025-03-28,低,テクニカルサポート,対応中
TK-2025-032,監査対応のため、過去1年間のすべてのユーザー操作ログを提出する必要があります。管理画面からエクスポートできるのは直近3ヶ月分のみですが、それ以前のデータは取得可能ですか。,2025-04-01,高,セキュリティ,解決済み
TK-2025-033,障害復旧後にデータの整合性チェックを実施したところ、一部のトランザクションが欠落している可能性があります。1月15日から1月17日の間のデータの完全性を確認したいです。,2025-04-03,緊急,テクニカルサポート,解決済み
TK-2025-034,API利用の月間上限に達したとのエラーが出ますが、管理画面で確認すると上限の60%しか使用していません。カウンターがリセットされていない可能性があります。,2025-04-05,高,テクニカルサポート,対応中
TK-2025-035,新入社員50名分のアカウントを一括で作成したいです。CSVテンプレートをいただけますか。また、初期パスワードの設定ポリシーについても確認したいです。,2025-04-08,中,アカウント管理,解決済み
TK-2025-036,サードパーティのBI（Tableau）との接続で認証エラーが発生しています。OAuthトークンの有効期限が短すぎるのが原因ではないかと考えています。,2025-04-10,高,テクニカルサポート,対応中
TK-2025-037,利用料金の見積書を発行してもらえますか。エンタープライズプランで100ユーザー、年間契約の条件です。稟議資料に添付する必要があります。,2025-04-12,中,経理・請求,解決済み
TK-2025-038,IPアドレスによるアクセス制限を設定しましたが、VPN経由のアクセスがブロックされてしまいます。VPNのIP範囲をホワイトリストに追加する方法を教えてください。,2025-04-15,高,セキュリティ,解決済み
TK-2025-039,ブラウザのタブを複数開いて同時に編集すると、データの競合が発生して最新の変更が失われることがあります。排他制御の仕組みはありますか。,2025-04-18,中,テクニカルサポート,対応中
TK-2025-040,年度末の処理で大量のデータ削除を行う必要があります。一括削除の上限が1000件までとなっていますが、一時的に上限を引き上げることは可能ですか。,2025-04-20,中,テクニカルサポート,解決済み
